[ 2026-09-20 21:38:56,255 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-20 21:39:10,869 ] 61 root - INFO - Performed train test split on the dataframe
[ 2026-09-20 21:39:10,869 ] 66 root - INFO - Exporting train and test file path.
[ 2026-09-20 21:39:10,913 ] 73 root - INFO - Exported train and test file path.
[ 2026-09-20 21:39:10,913 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-20 21:39:10,913 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-20 21:39:10,933 ] 32 root - INFO - Required number of columns:2
[ 2026-09-20 21:39:10,933 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-20 21:39:10,933 ] 32 root - INFO - Required number of columns:2
[ 2026-09-20 21:39:10,933 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-20 21:39:11,042 ] 28 root - INFO - data Validation Completed
[ 2026-09-20 21:39:11,042 ] 31 root - INFO - data Transformation started
[ 2026-09-20 21:39:11,042 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-20 21:39:11,042 ] 65 root - INFO - Starting data transformation
[ 2026-09-20 21:39:11,072 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-20 21:39:11,072 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-20 21:39:11,083 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-20 21:39:11,090 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-20 21:39:11,090 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-20 21:39:11,092 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-20 21:39:11,096 ] 35 root - INFO - data Transformation completed
[ 2026-09-20 21:39:11,096 ] 37 root - INFO - Model Training sstared
[ 2026-09-20 21:42:52,406 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-20 21:42:52,415 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-20 21:42:52,415 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-20 21:42:52,420 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-20 21:42:52,420 ] 140 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_20_2026_21_38_55\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9920467129769456, precision_score=0.9893574297188755, recall_score=0.994750656167979), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9701187065083913, precision_score=0.9564164648910412, recall_score=0.9842192691029901))
[ 2026-09-20 21:42:52,420 ] 42 root - INFO - Model Training artifact created
