[ 2026-09-20 17:44:07,310 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-20 17:44:34,313 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-20 17:44:34,313 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-20 17:44:34,313 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-20 17:44:34,356 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-20 17:44:34,356 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-20 17:44:34,365 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-20 17:44:34,382 ] 32 root - INFO - Required number of columns:2
[ 2026-09-20 17:44:34,384 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-20 17:44:34,384 ] 32 root - INFO - Required number of columns:2
[ 2026-09-20 17:44:34,384 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-20 17:44:34,483 ] 28 root - INFO - data Validation Completed
[ 2026-09-20 17:44:34,483 ] 31 root - INFO - data Transformation started
[ 2026-09-20 17:44:34,483 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-20 17:44:34,483 ] 65 root - INFO - Starting data transformation
[ 2026-09-20 17:44:34,499 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-20 17:44:34,499 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-20 17:44:34,511 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-20 17:44:34,513 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-20 17:44:34,513 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-20 17:44:34,515 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-20 17:44:34,517 ] 35 root - INFO - data Transformation completed
[ 2026-09-20 17:44:34,517 ] 37 root - INFO - Model Training sstared
